title,time,genre,rating,description,votes,directors,stars,year,gross
Les rivières pourpres 2 - Les anges de l'apocalypse,100,Action,5.9,Pierre Niemans faces the threat of the apocalypse while investigating a series of ritual murders.,20651,['Olivier Dahan'],"['Jean Reno', 'Benoît Magimel', 'Christopher Lee', 'Camille Natta']",2004,
Les triplettes de Belleville,80,Animation,7.7,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",54096,['Sylvain Chomet'],"['Michèle Caucheteux', 'Jean-Claude Donda', 'Michel Robin', 'Monica Viegas']",2003,7000000.0
Les vacances de Monsieur Hulot,114,Comedy,7.4,"Monsieur Hulot comes to a beachside hotel for a vacation and accidentally, but good-naturedly, causes havoc.",18374,['Jacques Tati'],"['Jacques Tati', 'Nathalie Pascaud', 'Micheline Rolla', 'Valentine Camax']",1953,
Les visiteurs,107,Comedy,7.0,"A medieval knight and his servant ask a familiar wizard to move them back in time to prevent father-in-law's accidentally killing. Instead, they fly away to the 20th century.",34634,['Jean-Marie Poiré'],"['Christian Clavier', 'Jean Reno', 'Valérie Lemercier', 'Marie-Anne Chazel']",1993,700000.0
Les yeux sans visage,90,Drama,7.6,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,30991,['Georges Franju'],"['Pierre Brasseur', 'Alida Valli', 'Juliette Mayniel', 'Alexandre Rignault']",1960,50000.0
Les émotifs anonymes,80,Comedy,6.9,"Jean-René, owner of a chocolate factory, and Angélique, a talented chocolate maker, are too shy to admit their love for each other. Will they come together thanks to their common passion?",11304,['Jean-Pierre Améris'],"['Benoît Poelvoorde', 'Isabelle Carré', 'Lorella Cravotta', 'Lise Lamétrie']",2010,
Lesbian Vampire Killers,86,Action,5.1,"Their women having been enslaved by the local pack of lesbian vampires thanks to an ancient curse, the remaining menfolk of a rural town send two hapless young lads out onto the moors as a sacrifice.",20099,['Phil Claydon'],"['Paul McGann', 'James Corden', 'MyAnna Buring', 'Silvia Colloca']",2009,
Less Than Zero,98,Crime,6.4,"A college freshman returns to L.A. for the holidays at his ex-girlfriend's request, but discovers that his former best friend has an out-of-control drug habit.",20226,['Marek Kanievska'],"['Andrew McCarthy', 'Jami Gertz', 'Robert Downey Jr.', 'James Spader']",1987,12400000.0
Let Him Go,113,Crime,6.7,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",24388,['Thomas Bezucha'],"['Diane Lane', 'Kevin Costner', 'Kayli Carter', 'Ryan Bruce']",2020,
Let It Snow,92,Comedy,5.8,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.",21635,['Luke Snellin'],"['Isabela Merced', 'Shameik Moore', 'Odeya Rush', 'Liv Hewson']",2019,
