title,time,genre,rating,description,votes,directors,stars,year,gross
#Home,158,Drama,8.9,Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons who spend more time on their phones than with their loved ones.,12361,['Rojin Thomas'],"['Indrans', 'Sreenath Bhasi', 'Manju Pillai', 'Naslen']",2021,
#Saraitda,98,Action,6.3,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",37072,['Il Cho'],"['Yoo Ah-in', 'Park Shin-Hye', 'Jeon Bae-soo', 'Hyun-Wook Lee']",2020,
'71,99,Action,7.2,"In 1971, a young and disoriented British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast.",55642,['Yann Demange'],"[""Jack O'Connell"", 'Sam Reid', 'Sean Harris', 'Paul Popplewell']",2014,1270000.0
'A' gai wak,105,Action,7.3,"Fighting against pirates at the turn of the 20th century, the Hong Kong navy are failing miserably. It's up to Sergeant Lung (Jackie Chan) to take matters into his own hands.",16657,"['Jackie Chan', 'Jackie Chan']","['Sammo Kam-Bo Hung', 'Jackie Chan', 'Sammo Kam-Bo Hung', 'Biao Yuen', 'Dick Wei']",1983,
'A' gai wak 2,106,Action,7.0,"Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt Police Superintendent.",10180,['Jackie Chan'],"['Jackie Chan', 'Maggie Cheung', 'Rosamund Kwan', 'Carina Lau']",1987,
'Breaker' Morant,107,Drama,7.8,Three Australian lieutenants are court martialed for executing prisoners as a way of deflecting attention from war crimes committed by their superior officers.,13395,['Bruce Beresford'],"['Edward Woodward', 'Jack Thompson', 'John Waters', 'Bryan Brown']",1980,7140000.0
(500) Days of Summer,95,Comedy,7.7,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",502301,['Marc Webb'],"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend', 'Chloë Grace Moretz']",2009,32390000.0
(T)Raumschiff Surprise - Periode 1,87,Comedy,5.4,"Three hundred years in the future, Mars is colonized by humans and their leader Regulator Rogul plans to conquer Earth. Queen Königin Metapha is advised to send the gays Captain Kork, the ...                See full summary »",15578,['Michael Herbig'],"['Michael Herbig', 'Rick Kavanian', 'Christian Tramitz', 'Anja Kling']",2004,
*batteries not included,106,Comedy,6.6,Aliens help a feisty old New York couple in their battle against the ruthless land developer who's out to evict them.,35247,['Matthew Robbins'],"['Hume Cronyn', 'Jessica Tandy', 'Frank McRae', 'Elizabeth Peña']",1987,32950000.0
...E tu vivrai nel terrore! L'aldilà,87,Horror,6.6,"A young woman inherits an old hotel in Louisiana where, following a series of supernatural ""accidents"", she learns that the building was built over one of the entrances to Hell.",22413,['Lucio Fulci'],"['Catriona MacColl', 'David Warbeck', 'Cinzia Monreale', 'Antoine Saint-John']",1981,120000.0
"Watch Out, We're Mad",102,Action,7.3,"After a tied first place in a local stunt race, two drivers start a contest to decide which of them will own the prize, a dune buggy. But when a mobster destroys the car, they are determined to get it back.",12257,['Marcello Fondato'],"['Terence Hill', 'Bud Spencer', 'Patty Shepard', 'Deogratias Huerta']",1974,
...and justice for all.,119,Crime,7.4,"A lawyer is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent.",34094,['Norman Jewison'],"['Al Pacino', 'Jack Warden', 'John Forsythe', 'Lee Strasberg']",1979,
1 - Nenokkadine,170,Action,8.0,A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,44989,['Sukumar'],"['Mahesh Babu', 'Kriti Sanon', 'Nassar', 'Pradeep Singh Rawat']",2014,
10,122,Comedy,6.1,"A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman.",17738,['Blake Edwards'],"['Dudley Moore', 'Bo Derek', 'Julie Andrews', 'Robert Webber']",1979,74870000.0
10 Cloverfield Lane,103,Action,7.2,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,316020,['Dan Trachtenberg'],"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.', 'Douglas M. Griffin']",2016,72080000.0
10 Items or Less,82,Comedy,6.6,"An actor prepping for an upcoming role meets a quirky grocery clerk, and together they hit the road to show each other their respective worlds.",15267,['Brad Silberling'],"['Morgan Freeman', 'Paz Vega', 'Jonah Hill', 'Anne Dudek']",2006,80000.0
10 Things I Hate About You,97,Comedy,7.3,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",329014,['Gil Junger'],"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt', 'Larisa Oleynik']",1999,38180000.0
10 Years,110,Comedy,6.1,"The night of their high school reunion, a group of friends realize they still haven't quite grown up in some ways.",25559,['Jamie Linden'],"['Channing Tatum', 'Rosario Dawson', 'Chris Pratt', 'Jenna Dewan']",2011,200000.0
"10,000 BC",109,Action,5.1,"In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",130139,['Roland Emmerich'],"['Camilla Belle', 'Steven Strait', 'Marco Khan', 'Cliff Curtis']",2008,94780000.0
100 Feet,96,Horror,5.4,"After Marnie Watson kills her abusive husband in self-defense, she is condemned to house arrest... only to discover that the house is possessed by the enraged and violent spirit of her dead husband.",12573,['Eric Red'],"['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick', 'Michael Paré']",2008,
100 Girls,94,Comedy,5.8,"Matt spends the night with a girl in an elevator during power outage in a girls' college dorm. He never sees her. Waking up in the morning, panties are all that's left of her. How does he find her in a building with 100 girls?",22826,['Michael Davis'],"['Jonathan Tucker', 'Emmanuelle Chriqui', 'James DeBello', 'Katherine Heigl']",2000,
101 Dalmatians,103,Adventure,5.7,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",110066,['Stephen Herek'],"['Glenn Close', 'Jeff Daniels', 'Joely Richardson', 'Joan Plowright']",1996,136190000.0
102 Dalmatians,100,Adventure,4.8,Cruella DeVil gets out of prison and goes after the puppies once more.,37215,['Kevin Lima'],"['Glenn Close', 'Gérard Depardieu', 'Ioan Gruffudd', 'Alice Evans']",2000,66959999.0
11-11-11,90,Horror,3.9,"After the death of his wife and child, an author travels to Barcelona to see his estranged brother and dying father, where he learns that his life is plagued by events that occur on 11/11/11.",12346,['Darren Lynn Bousman'],"['Timothy Gibbs', 'Michael Landes', 'Brendan Price', 'Wendy Glenn']",2011,
11:14,86,Comedy,7.1,"The events leading up to an 11:14 p.m. car crash, from five very different perspectives.",47470,['Greg Marcks'],"['Henry Thomas', 'Colin Hanks', 'Ben Foster', 'Patrick Swayze']",2003,
12,159,Crime,7.6,Twelve jurors must decide the fate of a Chechen adolescent charged with murdering his stepfather.,14620,['Nikita Mikhalkov'],"['Sergey Makovetskiy', 'Sergey Garmash', 'Apti Magamaev', 'Nikita Mikhalkov']",2007,130000.0
12 Angry Men,96,Crime,9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,762212,['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']",1957,4360000.0
12 Feet Deep,85,Horror,5.4,Two sisters are trapped under the fiberglass cover of an Olympic sized public pool and must brave the cold and each other to survive the harrowing night.,17744,['Matt Eskandari'],"['Nora-Jane Noone', 'Alexandra Park', 'Diane Farr', 'Christian Kain Blackburn']",2017,
12 Rounds,108,Action,5.6,"Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.",28757,['Renny Harlin'],"['John Cena', 'Ashley Scott', 'Aidan Gillen', 'Steve Harris']",2009,12230000.0
12 Strong,130,Action,6.5,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.",77819,['Nicolai Fuglsig'],"['Chris Hemsworth', 'Michael Shannon', 'Michael Peña', 'Navid Negahban']",2018,45500000.0
12 Years a Slave,134,Biography,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",684980,['Solomon Northup'],"['Steve McQueen', 'Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']",2013,56670000.0
120 battements par minute,143,Drama,7.4,Members of the advocacy group ACT UP Paris demand action by the government and pharmaceutical companies to combat the AIDS epidemic in the early 1990s.,15168,['Robin Campillo'],"['Nahuel Pérez Biscayart', 'Arnaud Valois', 'Adèle Haenel', 'Antoine Reinartz']",2017,130000.0
127 Hours,94,Biography,7.6,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",370717,['Danny Boyle'],"['James Franco', 'Amber Tamblyn', 'Kate Mara', 'Sean Bott']",2010,18340000.0
13,91,Crime,6.0,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.",41946,['Géla Babluani'],"['Sam Riley', 'Alice Barrett', 'Gaby Hoffmann', 'Jason Statham']",2010,
13 Going on 30,98,Comedy,6.2,"A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.",185977,['Gary Winick'],"['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer', 'Andy Serkis']",2004,57230000.0
13 Hours,144,Action,7.3,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",137767,['Michael Bay'],"['John Krasinski', 'Pablo Schreiber', 'James Badge Dale', 'David Denman']",2016,52850000.0
13 Sins,93,Horror,6.3,"A cryptic phone call sets off a dangerous game of risks for Elliot, a down-on-his-luck salesman. The game promises increasing rewards for completing 13 tasks, each more sinister than the last.",36143,['Daniel Stamm'],"['Mark Webber', 'Devon Graye', 'Tom Bower', 'Rutina Wesley']",2014,10000.0
13 Tzameti,93,Crime,7.3,A man takes over a dead man's task without realizing the horror it entails.,17389,['Géla Babluani'],"['George Babluani', 'Aurélien Recoing', 'Pascal Bongard', 'Fred Ulysse']",2005,120000.0
1408,104,Fantasy,6.8,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",268036,['Mikael Håfström'],"['John Cusack', 'Samuel L. Jackson', 'Mary McCormack', 'Tony Shalhoub']",2007,71990000.0
1492: Conquest of Paradise,154,Adventure,6.4,Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.,30095,['Ridley Scott'],"['Gérard Depardieu', 'Armand Assante', 'Sigourney Weaver', 'Loren Dean']",1992,7190000.0
15 Minutes,120,Action,6.1,A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.,50226,['John Herzfeld'],"['Robert De Niro', 'Edward Burns', 'Kelsey Grammer', 'Avery Brooks']",2001,24400000.0
15/07 Safak Vakti,95,Action,3.6,"Dramatisation based on real events, brings together different people during an attempted coup on the Bosphorus Bridge in Istanbul in 2016.",20409,['Volkan Kocatürk'],"['Deniz Bolisik', 'Baran Bölükbasi', 'Melih Degirmenci', 'Nazan Diper']",2021,
16 Blocks,102,Action,6.6,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece.",130272,['Richard Donner'],"['Bruce Willis', 'Yasiin Bey', 'David Morse', 'Jenna Stern']",2006,36900000.0
17 Again,102,Comedy,6.4,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,196812,['Burr Steers'],"['Zac Efron', 'Matthew Perry', 'Leslie Mann', 'Thomas Lennon']",2009,64170000.0
1917,119,Action,8.2,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",547466,['Sam Mendes'],"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']",2019,159230000.0
1922,102,Crime,6.2,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",61579,['Zak Hilditch'],"['Thomas Jane', 'Molly Parker', 'Dylan Schmid', 'Kaitlyn Bernard']",2017,
1941,118,Action,5.8,Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.,33409,['Steven Spielberg'],"['John Belushi', 'Dan Aykroyd', 'Treat Williams', 'Nancy Allen']",1979,31760000.0
1BR,90,Drama,5.8,"Sarah tries to start anew in LA, but her neighbours are not what they seem.",11977,['David Marmor'],"['Nicole Brydon Bloom', 'Giles Matthey', 'Taylor Nichols', 'Alan Blumenfeld']",2019,
2 Days in New York,96,Comedy,6.0,"Manhattan couple Marion and Mingus, who each have children from prior relationships, find their comfortable family dynamic jostled by a visit from Marion's relatives.",14502,['Julie Delpy'],"['Julie Delpy', 'Chris Rock', 'Albert Delpy', 'Alexia Landeau']",2012,630000.0
2 Days in Paris,96,Comedy,6.7,"Marion and Jack try to rekindle their relationship with a visit to Paris, home of Marion's parents -- and several of her ex-boyfriends.",31168,['Julie Delpy'],"['Julie Delpy', 'Adam Goldberg', 'Daniel Brühl', 'Marie Pillet']",2007,4430000.0
2 Days in the Valley,104,Comedy,6.5,48 hours of intersecting lives and crimes in Los Angeles.,19860,['John Herzfeld'],"['Teri Hatcher', 'Jeff Daniels', 'Danny Aiello', 'Charlize Theron']",1996,11110000.0
2 Fast 2 Furious,107,Action,5.9,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,269518,['John Singleton'],"['Paul Walker', 'Tyrese Gibson', 'Cole Hauser', 'Eva Mendes']",2003,127150000.0
2 Guns,109,Action,6.7,"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.",209071,['Baltasar Kormákur'],"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Bill Paxton']",2013,75610000.0
2 States,149,Comedy,6.9,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,25484,['Abhishek Varman'],"['Arjun Kapoor', 'Alia Bhatt', 'Amrita Singh', 'Revathi']",2014,2220000.0
2.0,148,Action,6.1,"After mobiles start mysteriously flying out of the hands of people in Chennai, Dr Vaseegaran summons his trusted robot Chitti to ward off the bird-shaped supernatural powers of Pakshirajan.",23878,['S. Shankar'],"['Rajinikanth', 'Akshay Kumar', 'Amy Jackson', 'Adil Hussain']",2018,5570000.0
"20,000 Leagues Under the Sea",127,Adventure,7.2,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",33334,['Richard Fleischer'],"['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre']",1954,28200000.0
200 Cigarettes,101,Comedy,5.9,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",15446,['Risa Bramon Garcia'],"['Ben Affleck', 'Casey Affleck', 'Dave Chappelle', 'Guillermo Díaz']",1999,6850000.0
2001 Maniacs,87,Comedy,5.3,"Eight college students travelling to Florida for Spring Break stumble into a remote town in Georgia, where they are set upon by the residents.",12520,['Tim Sullivan'],"['Robert Englund', 'Lin Shaye', 'Giuseppe Andrews', 'Jay Gillespie']",2005,
2001: A Space Odyssey,149,Adventure,8.3,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer.",650604,['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']",1968,56950000.0
2001: A Space Travesty,99,Comedy,3.4,Marshal Dix is to free US president from aliens on the int'l lunar base. A clone has replaced him in The White House. Can Dix prevent an alien invasion?,12026,['Allan A. Goldstein'],"['Leslie Nielsen', 'Ophélie Winter', 'Ezio Greggio', 'Peter Egan']",2000,
2010: The Year We Make Contact,116,Adventure,6.7,"A joint USA-Soviet expedition is sent to Jupiter to learn exactly what happened to the ""Discovery"" and its H.A.L. 9000 computer.",52869,['Peter Hyams'],"['Roy Scheider', 'John Lithgow', 'Helen Mirren', 'Bob Balaban']",1984,40200000.0
2012,158,Action,5.8,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,372072,['Roland Emmerich'],"['John Cusack', 'Thandiwe Newton', 'Chiwetel Ejiofor', 'Amanda Peet']",2009,166110000.0
2046,129,Drama,7.4,"Several women enter a science fiction author's life over the course of a few years, after the author has lost the woman he considers his one true love.",56865,['Kar-Wai Wong'],"['Tony Chiu-Wai Leung', 'Ziyi Zhang', 'Faye Wong', 'Gong Li']",2004,1440000.0
20th Century Women,119,Comedy,7.3,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",44703,['Mike Mills'],"['Annette Bening', 'Elle Fanning', 'Greta Gerwig', 'Billy Crudup']",2016,5660000.0
21,123,Crime,6.8,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",246649,['Robert Luketic'],"['Jim Sturgess', 'Kate Bosworth', 'Kevin Spacey', 'Aaron Yoo']",2008,81160000.0
21 & Over,93,Comedy,5.8,"The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.",74238,"['Jon Lucas', 'Scott Moore']","['Miles Teller', 'Justin Chon', 'Jonathan Keltz', 'Sarah Wright']",2013,25680000.0
21 Bridges,99,Action,6.6,An embattled NYPD detective is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy.,64179,['Brian Kirk'],"['Chadwick Boseman', 'Sienna Miller', 'J.K. Simmons', 'Stephan James']",2019,
21 Grams,124,Crime,7.7,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",234387,['Alejandro G. Iñárritu'],"['Sean Penn', 'Benicio Del Toro', 'Naomi Watts', 'Danny Huston']",2003,16290000.0
21 Jump Street,109,Action,7.2,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,545526,"['Phil Lord', 'Christopher Miller']","['Jonah Hill', 'Channing Tatum', 'Ice Cube', 'Brie Larson']",2012,138450000.0
22 July,143,Crime,6.8,"A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.",33238,['Paul Greengrass'],"['Anders Danielsen Lie', 'Jonas Strand Gravli', 'Jon Øigarden', 'Maria Bock']",2018,
22 Jump Street,112,Action,7.0,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",369141,"['Phil Lord', 'Christopher Miller']","['Channing Tatum', 'Jonah Hill', 'Ice Cube', 'Nick Offerman']",2014,191720000.0
24,164,Action,7.9,"A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son.",21345,['Vikram K. Kumar'],"['Suriya', 'Samantha Ruth Prabhu', 'Nithya Menen', 'Saranya Ponvannan']",2016,
24 Hour Party People,117,Biography,7.3,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.",37018,['Michael Winterbottom'],"['Steve Coogan', 'Lennie James', 'John Thomson', 'Paul Popplewell']",2002,1130000.0
24 Hours to Live,93,Action,5.7,An assassin seeks redemption after being given a second chance at life.,14324,['Brian Smrz'],"['Ethan Hawke', 'Qing Xu', 'Paul Anderson', 'Rutger Hauer']",2017,
25th Hour,135,Drama,7.6,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",177217,['Spike Lee'],"['Edward Norton', 'Barry Pepper', 'Philip Seymour Hoffman', 'Rosario Dawson']",2002,13060000.0
27 Dresses,111,Comedy,6.1,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",162568,['Anne Fletcher'],"['Katherine Heigl', 'James Marsden', 'Malin Akerman', 'Brian Kerwin']",2008,76810000.0
28 Days,103,Comedy,6.0,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,49115,['Betty Thomas'],"['Sandra Bullock', 'Viggo Mortensen', 'Dominic West', 'Elizabeth Perkins']",2000,37170000.0
28 Days Later...,113,Drama,7.5,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",403960,['Danny Boyle'],"['Cillian Murphy', 'Naomie Harris', 'Christopher Eccleston', 'Alex Palmer']",2002,45060000.0
28 Weeks Later,100,Action,6.9,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",272079,['Juan Carlos Fresnadillo'],"['Jeremy Renner', 'Rose Byrne', 'Robert Carlyle', 'Harold Perrineau']",2007,28640000.0
2:22,98,Drama,5.7,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",22912,['Paul Currie'],"['Michiel Huisman', 'Teresa Palmer', 'Sam Reid', 'John Waters']",2017,
3 Days to Kill,117,Action,6.2,A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,92898,['McG'],"['Kevin Costner', 'Hailee Steinfeld', 'Connie Nielsen', 'Amber Heard']",2014,30700000.0
3 Idiots,170,Comedy,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",385146,['Rajkumar Hirani'],"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']",2009,6530000.0
3 Men and a Baby,102,Comedy,6.1,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,52859,['Leonard Nimoy'],"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson', 'Nancy Travis']",1987,167780000.0
3 Men and a Little Lady,104,Comedy,5.4,"Three ex-dads quickly discover how empty life is without their little lady, and go to outrageous lengths in their efforts to win their daughter back in this critically acclaimed and equally charming sequel.",24568,['Emile Ardolino'],"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson', 'Nancy Travis']",1990,71610000.0
3 Ninjas,84,Action,5.2,"Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",21557,['Jon Turteltaub'],"['Victor Wong', 'Michael Treanor', 'Max Elliott Slade', 'Chad Power']",1992,29000000.0
3 Ninjas: High Noon at Mega Mountain,93,Action,2.9,The three unstoppable Ninja brothers fight to save their hero (Hulk Hogan) and Mega Mountain Amusement Park from the vicious kid-hating Medusa (Loni Anderson).,12760,['Sean McNamara'],"['Loni Anderson', 'Hulk Hogan', 'Jim Varney', 'Victor Wong']",1998,380000.0
3 Women,124,Drama,7.7,"Two roommates/physical therapists, one a vain woman and the other an awkward teenager, share an increasingly bizarre relationship.",15200,['Robert Altman'],"['Shelley Duvall', 'Sissy Spacek', 'Janice Rule', 'Robert Fortier']",1977,
3 from Hell,115,Action,5.4,"After barely surviving prison, the demented Firefly clan go on the run, unleashing a whole new wave of murder, madness and mayhem.",14340,['Rob Zombie'],"['Sheri Moon Zombie', 'Bill Moseley', 'Sid Haig', 'Jeff Daniel Phillips']",2019,
30 Days of Night,113,Action,6.6,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",174443,['David Slade'],"['Josh Hartnett', 'Melissa George', 'Danny Huston', 'Ben Foster']",2007,39570000.0
30 Minutes or Less,83,Action,6.1,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",99469,['Ruben Fleischer'],"['Jesse Eisenberg', 'Danny McBride', 'Nick Swardson', 'Aziz Ansari']",2011,37050000.0
300,117,Action,7.6,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,801873,['Zack Snyder'],"['Gerard Butler', 'Lena Headey', 'David Wenham', 'Dominic West']",2006,210610000.0
3000 Miles to Graceland,125,Action,5.9,A gang of ex-cons rob a casino during Elvis convention week.,46243,['Demian Lichtenstein'],"['Kurt Russell', 'Kevin Costner', 'Courteney Cox', 'Christian Slater']",2001,15740000.0
300: Rise of an Empire,102,Action,6.2,"Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",297049,['Noam Murro'],"['Sullivan Stapleton', 'Eva Green', 'Lena Headey', 'Hans Matheson']",2014,106580000.0
3096 Tage,111,Biography,6.4,A young Austrian girl is kidnapped and held in captivity for eight years. Based on the factual case of Natascha Kampusch.,13309,['Sherry Hormann'],"['Antonia Campbell-Hughes', 'Thure Lindhardt', 'Amelia Pidgeon', 'Trine Dyrholm']",2013,
31,102,Horror,5.0,"Five carnival workers are kidnapped and held hostage in an abandoned, hellish compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.",20472,['Rob Zombie'],"['Malcolm McDowell', 'Richard Brake', 'Jeff Daniel Phillips', 'Sheri Moon Zombie']",2016,780000.0
36 Quai des Orfèvres,111,Action,7.1,"2 cops are promised by the retiring chief of the Paris police that the one, getting the violent gang robbing armored trucks, will get his job. The 2 will do whatever it takes to get the promotion, even if it means breaking the law.",17253,['Olivier Marchal'],"['Daniel Auteuil', 'Gérard Depardieu', 'André Dussollier', 'Valeria Golino']",2004,
360,110,Drama,6.1,"A modern and stylish kaleidoscope of interconnected love and relationships linking characters from different cities and countries in a vivid, suspenseful and deeply moving tale of romantic life in the 21st century.",16801,['Fernando Meirelles'],"['Rachel Weisz', 'Jude Law', 'Anthony Hopkins', 'Ben Foster']",2011,100000.0
365 dni,114,Drama,3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",78223,"['Barbara Bialowas', 'Tomasz Mandes']","['Anna Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski', 'Otar Saralidze']",2020,
37°2 le matin,185,Drama,7.3,A lackadaisical handyman and aspiring novelist tries to support his younger girlfriend as she slowly succumbs to madness.,21175,['Jean-Jacques Beineix'],"['Jean-Hugues Anglade', 'Béatrice Dalle', 'Gérard Darmon', 'Consuelo De Haviland']",1986,2000000.0
3:10 to Yuma,92,Drama,7.6,Broke small-time rancher Dan Evans is hired by the stagecoach line to put big-time captured outlaw leader Ben Wade on the 3:10 train to Yuma but Wade's gang tries to free him.,19554,['Delmer Daves'],"['Glenn Ford', 'Van Heflin', 'Felicia Farr', 'Leora Dana']",1957,
3:10 to Yuma,122,Action,7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,305906,['James Mangold'],"['Russell Crowe', 'Christian Bale', 'Ben Foster', 'Logan Lerman']",2007,53610000.0
"4 luni, 3 saptamâni si 2 zile",113,Drama,7.9,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,59593,['Cristian Mungiu'],"['Anamaria Marinca', 'Laura Vasiliu', 'Vlad Ivanov', 'Alexandru Potocean']",2007,1190000.0
4.3.2.1.,117,Crime,5.8,"4 girls out on a 3 days trip in to 2 cities, if they survive. While Jo is working in a supermarket, her 3 friends are all out on their adventures. A chance encounter with diamond thieves sends them on a collision course with fate itself.",10732,"['Noel Clarke', 'Mark Davis']","['Emma Roberts', 'Tamsin Egerton', 'Ophelia Lovibond', 'Shanika Warren-Markland']",2010,
